Product1_ID,Product2_ID
1130885,7
3174591,56
124061,147
3382484,175
87031,301
3765398,483
1958236,546
283059,644
2073855,721
2436098,840
2061521,987
474894,1155
698866,1309
2907849,1575
770490,1610
431984,1687
3507756,1925
2638006,2072
678839,2114
2923676,2128
3078257,2198
1609363,2345
2250038,2401
1806651,2408
1677375,2429
3496297,2513
3623508,2751
1541351,2891
1914164,2982
2451267,3150
3585190,3304
3330390,3458
2944746,3570
3448410,3801
2279844,3899
740271,3962
2086133,4039
3568859,4046
3764656,4277
3683316,4578
668038,4655
3172148,4865
276248,4928
332381,5180
1605499,5264
3525774,5369
2919854,5754
1646022,5859
1477343,5943
938637,6034
2534238,6048
6062,6055
6048,6062
1330182,6755
468566,6776
1976247,6832
1119895,6867
1884337,6986
2115372,7000
1560930,7042
495306,7056
1324610,7077
1674421,7196
1649382,7357
1620661,7525
2523934,7686
3271044,7777
1085553,7952
104923,8204
436205,8302
3495128,8344
80710,8407
1157226,8421
624687,8442
1909110,8582
3305806,8694
3158085,8722
1093057,8883
381059,9030
335433,9086
2667329,9114
1093106,9128
2176650,9205
1658370,9408
2207828,9464
2648464,9506
2257444,9632
1348970,9751
3410015,9905
160531,10087
2567579,10178
1100372,10325
1370705,10339
2331728,10416
2736993,10458
3200484,10654
657405,10829
611289,11256
1295609,11417
3609459,11606
3013178,11648
3505957,11655
2398039,11844
3256295,11865
14602,11998
553595,12040
2796458,12257
3826214,12516
2758959,12740
2676205,12901
307587,12957
801535,13055
673757,13328
2361338,13629
622160,13713
3338286,13825
1048999,13853
2624020,13909
1203055,14000
3324748,14035
3215737,14224
657587,14602
334684,14630
460565,14833
1290548,14847
1371314,15015
694687,15064
297976,15477
1814554,15918
2772308,15995
2113153,16254
3057397,16289
3326736,16415
2853788,16450
669410,16555
1169357,16779
2047815,16884
2999584,16933
2182124,16982
646926,17241
2811809,17290
2910334,17486
3142447,17507
2906253,17535
600628,17808
2965277,17843
3300668,18025
3220532,18046
1582903,18053
1551417,18214
2965830,18235
2342165,18284
424403,18298
2832137,18802
1360989,18823
3103660,18921
3379236,19187
3707669,19411
610148,19439
564368,19453
2467416,19516
835982,19642
2770474,19649
2037819,19698
3734962,20034
2063586,20265
670299,20349
3425128,20762
2996532,20769
753529,20783
1651272,21028
614859,21063
110005,21224
1649382,21280
1028748,21434
2663465,21609
2716805,21728
1523676,22078
2247735,22141
2873416,22176
3570063,22239
2917054,22512
3771880,22519
1702932,22582
3752987,22624
2533230,22729
1823752,22750
1391866,22939
3748066,23009
899150,23051
945385,23212
2625504,23548
2571870,23737
3299954,23933
2806699,23989
108724,24017
112406,24073
280903,24094
403081,24206
3510108,24325
1224349,24724
2269120,24745
3313394,24990
1009652,25046
1368353,25095
3721095,25214
425124,25606
181013,25648
1782879,25662
1303995,25732
2645531,26159
786765,26229
87836,26250
620620,26299
3339735,26362
3410701,26383
1340381,26404
1452773,26467
3797619,26691
2706487,26796
2728362,26824
2242625,26852
985264,27363
1201683,27580
2256800,27629
3525690,27930
2551899,28014
1425543,28168
1793757,28182
2933588,28238
763665,28259
367346,28266
80710,28329
2158373,28539
3229184,28546
1597141,28602
2488059,28707
2024029,28812
3206770,29001
311276,29295
112280,29386
3785523,29414
500843,29435
1652196,29554
3531661,29561
2290449,29778
2844891,29834
2995923,29890
1380869,29911
32466,29974
145502,30051
3023825,30135
510979,30198
3291155,30415
2468970,30520
421344,30716
3581193,30786
3167724,30821
3369261,31017
2702560,31045
1606423,31073
2670227,31087
2762151,31360
2721180,31612
3510108,31619
3820222,31731
2734599,31752
3525844,31836
2245026,31864
1732416,31990
1009260,32158
3465294,32186
243663,32466
583821,32480
2972865,32487
1297485,32725
1510950,32886
1162672,32977
2296735,33012
903483,33418
1884239,33467
2885855,33551
3464741,33565
3389127,33789
2153914,33922
98679,34041
1373372,34258
505358,34377
697627,34657
